Algoritmo,Numero de estado,Valores de h
Genetic Algorithm,727,11
Genetic Algorithm,728,19
Genetic Algorithm,729,8
Genetic Algorithm,730,14
Genetic Algorithm,731,10
Genetic Algorithm,732,15
Genetic Algorithm,733,12
Genetic Algorithm,734,12
Genetic Algorithm,735,15
Genetic Algorithm,736,8
Genetic Algorithm,737,15
Genetic Algorithm,738,8
Genetic Algorithm,739,12
Genetic Algorithm,740,10
Genetic Algorithm,741,12
Genetic Algorithm,742,12
Genetic Algorithm,743,13
Genetic Algorithm,744,15
Genetic Algorithm,745,15
Genetic Algorithm,746,11
Genetic Algorithm,747,15
Genetic Algorithm,748,14
Genetic Algorithm,749,8
Genetic Algorithm,750,12
Genetic Algorithm,751,10
Genetic Algorithm,752,14
Genetic Algorithm,753,14
Genetic Algorithm,754,10
Genetic Algorithm,755,11
Genetic Algorithm,756,14
Genetic Algorithm,757,11
Genetic Algorithm,758,12
Genetic Algorithm,759,10
Genetic Algorithm,760,16
Genetic Algorithm,761,11
Genetic Algorithm,762,9
Genetic Algorithm,763,13
Genetic Algorithm,764,11
Genetic Algorithm,765,7
Genetic Algorithm,766,10
Genetic Algorithm,767,13
Genetic Algorithm,768,12
Genetic Algorithm,769,12
Genetic Algorithm,770,9
Genetic Algorithm,771,9
Genetic Algorithm,772,11
Genetic Algorithm,773,14
Genetic Algorithm,774,8
Genetic Algorithm,775,9
Genetic Algorithm,776,20
Genetic Algorithm,777,10
Genetic Algorithm,778,10
Genetic Algorithm,779,7
Genetic Algorithm,780,13
Genetic Algorithm,781,13
Genetic Algorithm,782,11
Genetic Algorithm,783,8
Genetic Algorithm,784,12
Genetic Algorithm,785,9
Genetic Algorithm,786,12
Genetic Algorithm,787,14
Genetic Algorithm,788,6
Genetic Algorithm,789,11
Genetic Algorithm,790,13
Genetic Algorithm,791,10
Genetic Algorithm,792,15
Genetic Algorithm,793,15
Genetic Algorithm,794,9
Genetic Algorithm,795,9
Genetic Algorithm,796,14
Genetic Algorithm,797,10
Genetic Algorithm,798,13
Genetic Algorithm,799,9
Genetic Algorithm,800,9
Genetic Algorithm,801,8
Genetic Algorithm,802,7
Genetic Algorithm,803,11
Genetic Algorithm,804,13
Genetic Algorithm,805,7
Genetic Algorithm,806,8
Genetic Algorithm,807,13
Genetic Algorithm,808,7
Genetic Algorithm,809,11
Genetic Algorithm,810,11
Genetic Algorithm,811,12
Genetic Algorithm,812,11
Genetic Algorithm,813,12
Genetic Algorithm,814,7
Genetic Algorithm,815,16
Genetic Algorithm,816,11
Genetic Algorithm,817,10
Genetic Algorithm,818,9
Genetic Algorithm,819,13
Genetic Algorithm,820,14
Genetic Algorithm,821,12
Genetic Algorithm,822,15
Genetic Algorithm,823,6
Genetic Algorithm,824,12
Genetic Algorithm,825,17
Genetic Algorithm,826,18
Genetic Algorithm,827,15
Genetic Algorithm,828,12
Genetic Algorithm,829,19
Genetic Algorithm,830,9
Genetic Algorithm,831,12
Genetic Algorithm,832,8
Genetic Algorithm,833,9
Genetic Algorithm,834,17
Genetic Algorithm,835,7
Genetic Algorithm,836,8
Genetic Algorithm,837,14
Genetic Algorithm,838,10
Genetic Algorithm,839,12
Genetic Algorithm,840,6
Genetic Algorithm,841,13
Genetic Algorithm,842,12
Genetic Algorithm,843,8
Genetic Algorithm,844,11
Genetic Algorithm,845,9
Genetic Algorithm,846,12
Genetic Algorithm,847,6
Genetic Algorithm,848,15
Genetic Algorithm,849,15
Genetic Algorithm,850,10
Genetic Algorithm,851,7
Genetic Algorithm,852,9
Genetic Algorithm,853,9
